,Number,Valence,Energy,Tension,Anger,Fear,Happy,Sad,Tender,TARGET,Nro,Emotion,Album name,Track,Min:Sec
189,190,6.17,3.5,3.17,1.0,1.6,1.0,3.8,4.8,HIGH VALENCE,190,High Val.,Pride and Prejudice,9,00:01-00:21
190,191,6.0,3.4,1.6,1.0,1.0,6.33,1.0,5.5,HIGH VALENCE,191,High Val.,The Godfather,5,01:12-01:28
191,192,6.0,5.8,2.6,1.0,1.0,7.17,1.0,1.5,HIGH VALENCE,192,High Val.,Oliver Twist,1,00:17-00:34
192,193,6.0,5.17,2.83,1.0,1.0,6.83,1.17,3.0,HIGH VALENCE,193,High Val.,JFK,1,02:31-02:49
193,194,5.83,2.83,2.33,1.0,1.0,5.0,1.17,6.33,HIGH VALENCE,194,High Val.,The Portrait of a Lady,12,00:18-00:35
194,195,5.67,4.83,2.83,1.0,1.0,4.8,1.0,3.0,HIGH VALENCE,195,High Val.,Juha,7,00:03-00:15
195,196,5.67,3.67,3.17,1.0,1.0,1.0,5.17,5.33,HIGH VALENCE,196,High Val.,Dracula,11,03:27-03:42
196,197,5.67,2.0,1.83,1.0,1.0,1.17,5.67,4.0,HIGH VALENCE,197,High Val.,Mother of Mine,4,00:11-00:25
197,198,5.6,4.2,2.8,1.0,1.0,6.33,1.0,5.0,HIGH VALENCE,198,High Val.,The Omen ,2,00:16-00:33
198,199,5.5,5.17,3.5,1.0,1.4,5.2,1.0,1.4,HIGH VALENCE,199,High Val.,Juha,10,01:35-01:53
199,200,5.5,2.83,3.67,1.0,1.0,1.8,4.0,6.0,HIGH VALENCE,200,High Val.,Crouching Tiger Hidden Dragon,2,01:40-01:57
200,201,5.5,3.0,2.67,1.0,1.0,5.67,1.0,5.67,HIGH VALENCE,201,High Val.,Dances with Wolves,4,01:21-01:31
201,202,5.4,6.4,2.6,1.17,1.0,7.0,1.0,1.0,HIGH VALENCE,202,High Val.,Juha,1,00:42-00:59
202,203,5.17,5.17,3.0,1.0,1.0,6.67,1.17,3.0,HIGH VALENCE,203,High Val.,Grizzly Man,19,01:04-01:24
203,204,5.17,4.17,4.33,1.0,1.6,2.2,1.0,1.8,HIGH VALENCE,204,High Val.,Outbreak,6,00:16-00:31
204,205,4.8,5.2,2.8,1.0,1.0,5.83,1.0,3.17,HIGH VALENCE,205,High Val.,Oliver Twist,4,01:10-01:30
205,206,4.8,6.2,3.4,1.0,1.0,7.0,1.17,1.0,HIGH VALENCE,206,High Val.,Batman,20,01:09-01:33
206,207,4.6,5.2,2.4,1.0,1.0,6.33,1.17,3.17,HIGH VALENCE,207,High Val.,Juha,7,00:17-00:36
207,208,4.6,4.0,4.0,1.33,1.0,3.17,4.0,3.0,HIGH VALENCE,208,High Val.,Blanc,9,00:17-00:35
208,209,4.5,3.67,4.33,1.6,1.4,1.0,4.6,2.0,HIGH VALENCE,209,High Val.,Crouching Tiger Hidden Dragon,13,00:35-00:49
209,210,4.33,4.83,4.33,1.0,1.67,1.0,5.67,2.33,HIGH VALENCE,210,High Val.,Crouching Tiger Hidden Dragon,13,01:52-02:10
210,211,1.0,4.17,6.83,4.83,7.5,1.0,1.0,1.0,LOW VALENCE,211,Low Val.,Last samurai,2,02:20-02:40
211,212,1.17,5.67,7.0,5.0,6.17,1.17,1.0,1.0,LOW VALENCE,212,Low Val.,Batman Returns,5,00:54-01:10
212,213,1.2,4.8,6.8,4.17,7.33,1.0,1.0,1.0,LOW VALENCE,213,Low Val.,Batman,4,02:11-02:31
213,214,1.2,6.2,6.4,5.83,6.5,1.0,1.0,1.0,LOW VALENCE,214,Low Val.,Grizzly Man,15,00:57-01:15
214,215,1.2,3.8,5.4,1.33,5.5,1.0,1.0,1.0,LOW VALENCE,215,Low Val.,Grizzly Man,16,01:05-01:32
215,216,1.2,4.4,6.8,5.17,7.0,1.0,1.0,1.0,LOW VALENCE,216,Low Val.,JFK,9,02:07-02:21
216,217,1.33,6.5,6.83,7.8,5.4,1.0,1.0,1.0,LOW VALENCE,217,Low Val.,Lethal weapon 3,8,01:25-01:41
217,218,1.33,4.17,6.33,6.83,4.67,1.0,1.0,1.0,LOW VALENCE,218,Low Val.,Hellraiser,5,00:00-00:15
218,219,1.33,4.5,6.67,1.33,7.83,1.0,1.0,1.0,LOW VALENCE,219,Low Val.,Batman Returns,5,00:09-00:25
219,220,1.4,4.2,6.4,5.83,6.5,1.0,1.0,1.0,LOW VALENCE,220,Low Val.,The Fifth Element,20,00:16-00:37
220,221,1.4,5.2,5.6,2.0,6.17,1.0,1.0,1.0,LOW VALENCE,221,Low Val.,Hellraiser,9,00:30-00:44
221,222,1.5,3.5,6.83,5.0,7.0,1.0,1.5,1.0,LOW VALENCE,222,Low Val.,The Fifth Element,2,02:23-02:38
222,223,1.5,5.83,6.83,4.33,6.67,1.0,1.0,1.0,LOW VALENCE,223,Low Val.,Babylon 5,9,01:08-01:24
223,224,1.6,4.6,6.6,3.67,7.33,1.17,1.0,1.0,LOW VALENCE,224,Low Val.,Outbreak,7,00:05-00:21
224,225,1.8,5.0,5.8,2.17,5.17,1.0,1.33,1.0,LOW VALENCE,225,Low Val.,Batman,8,00:34-00:58
225,226,1.8,5.6,6.4,6.0,5.5,1.0,1.5,1.0,LOW VALENCE,226,Low Val.,Dracula,1,05:30-05:45
226,227,1.83,5.17,6.33,7.5,2.67,1.17,1.0,1.0,LOW VALENCE,227,Low Val.,Lethal weapon 3,8,04:15-04:29
227,228,1.83,3.17,6.0,6.0,4.67,1.0,1.0,1.0,LOW VALENCE,228,Low Val.,The Ocellus Suite,3,00:00-00:17
228,229,1.83,5.17,6.0,6.17,4.0,1.0,2.17,1.0,LOW VALENCE,229,Low Val.,Outbreak,12,00:00-00:15
229,230,2.0,4.6,6.6,2.33,6.5,1.0,1.0,1.0,LOW VALENCE,230,Low Val.,Babylon 5,3,02:47-03:00
230,231,2.0,2.8,5.6,3.83,6.67,1.0,1.0,1.0,LOW VALENCE,231,Low Val.,Batman Returns,4,00:19-00:35
231,232,2.0,5.5,6.83,4.33,6.33,1.0,1.0,1.0,LOW VALENCE,232,Low Val.,Batman Returns,6,02:06-02:21
232,233,2.17,4.17,5.33,1.5,5.33,1.0,1.33,1.0,LOW VALENCE,233,Low Val.,Juha,3,00:39-00:55
233,234,2.2,4.6,6.6,4.5,7.17,1.0,1.0,1.0,LOW VALENCE,234,Low Val.,Oliver Twist,15,02:05-02:25
234,235,2.33,4.17,6.0,4.0,6.33,1.0,1.0,1.0,LOW VALENCE,235,Low Val.,The Godfather,9,00:35-00:48
235,236,2.5,3.5,5.83,1.0,6.2,1.0,2.0,1.0,LOW VALENCE,236,Low Val.,Lethal weapon 3,5,00:20-00:40
236,237,2.5,4.0,5.67,1.0,4.4,1.0,1.6,1.4,LOW VALENCE,237,Low Val.,The Fifth Element,9,00:00-00:18
237,238,2.5,4.83,6.0,5.83,5.0,1.0,1.5,1.0,LOW VALENCE,238,Low Val.,Crouching Tiger Hidden Dragon,7,03:37-03:56
238,239,2.6,5.0,5.6,7.17,4.0,1.0,1.33,1.0,LOW VALENCE,239,Low Val.,The Fifth Element,19,00:00-00:20
239,240,4.0,3.8,5.4,2.83,4.33,1.0,3.33,1.0,LOW VALENCE,240,Low Val.,Dracula,5,00:11-00:27
240,241,4.2,6.8,4.0,1.0,1.0,7.0,1.0,1.4,HIGH ENERGY,241,High Ener.,The Godfather,11,00:49-01:06
241,242,5.67,6.67,2.83,1.33,1.0,7.17,1.0,2.0,HIGH ENERGY,242,High Ener.,Grizzly Man,3,01:01-01:18
242,243,2.67,6.67,6.0,1.33,5.0,1.0,1.0,1.0,HIGH ENERGY,243,High Ener.,Batman Returns,9,00:51-01:04
243,244,5.33,6.5,3.67,1.0,1.0,7.33,1.0,2.67,HIGH ENERGY,244,High Ener.,The Portrait of a Lady,8,00:37-00:56
244,245,3.17,6.5,5.33,1.8,5.2,1.0,1.0,1.0,HIGH ENERGY,245,High Ener.,Batman Returns,8,00:03-00:17
245,246,5.5,6.33,3.5,1.17,1.0,3.5,1.67,1.83,HIGH ENERGY,246,High Ener.,Oliver Twist,8,01:40-02:04
246,247,3.8,6.2,4.2,1.0,1.0,2.67,2.5,1.0,HIGH ENERGY,247,High Ener.,Juha,13,01:05-01:20
247,248,3.6,6.2,6.4,4.33,6.67,1.0,1.5,1.0,HIGH ENERGY,248,High Ener.,Mother of Mine,13,00:11-00:26
248,249,4.0,6.2,5.8,3.0,4.83,1.5,1.33,1.0,HIGH ENERGY,249,High Ener.,Outbreak,2,00:22-00:37
249,250,4.5,6.17,4.5,1.0,1.0,7.2,1.0,1.0,HIGH ENERGY,250,High Ener.,Batman,18,00:55-01:15
250,251,2.4,6.0,5.6,4.0,3.0,1.17,1.0,1.0,HIGH ENERGY,251,High Ener.,The Fifth Element,15,00:08-00:22
251,252,4.0,6.0,4.0,1.0,1.0,4.67,1.33,1.0,HIGH ENERGY,252,High Ener.,Crouching Tiger Hidden Dragon,6,00:38-00:51
252,253,2.67,6.0,6.33,3.83,2.5,1.5,1.0,1.0,HIGH ENERGY,253,High Ener.,Crouching Tiger Hidden Dragon,8,01:12-01:25
253,254,5.0,6.0,4.6,2.17,1.0,1.0,2.83,1.0,HIGH ENERGY,254,High Ener.,Blanc,7,00:42-00:55
254,255,3.17,5.83,5.5,3.17,1.5,1.67,1.33,1.0,HIGH ENERGY,255,High Ener.,JFK,3,01:56-02:12
255,256,5.6,5.8,3.8,1.0,1.0,4.83,1.67,1.5,HIGH ENERGY,256,High Ener.,The Portait of a Lady,9,01:50-02:10
256,257,3.6,5.8,5.8,2.5,2.33,2.33,1.0,1.0,HIGH ENERGY,257,High Ener.,Crouching Tiger Hidden Dragon,4,02:45-03:02
257,258,5.4,5.8,4.8,1.17,1.5,1.67,3.33,1.0,HIGH ENERGY,258,High Ener.,The Ocellus Suite,5,03:47-04:00
258,259,4.0,5.67,4.83,1.5,2.33,2.0,4.0,1.0,HIGH ENERGY,259,High Ener.,Blanc,21,00:04-00:17
259,260,4.8,5.6,3.6,1.0,1.0,6.83,1.17,1.0,HIGH ENERGY,260,High Ener.,Batman,4,02:31-02:51
260,261,3.8,5.4,5.2,1.0,1.33,4.0,1.0,1.0,HIGH ENERGY,261,High Ener.,Lethal weapon 3,4,01:40-02:00
261,262,4.67,5.33,4.67,1.0,1.8,2.6,1.6,2.2,HIGH ENERGY,262,High Ener.,Oliver Twist,7,01:30-01:46
262,263,4.33,5.33,3.0,1.17,1.0,7.5,1.17,1.5,HIGH ENERGY,263,High Ener.,Pride and Prejudice,4,00:10-00:29
263,264,5.83,5.0,2.83,1.0,1.0,6.17,1.0,1.33,HIGH ENERGY,264,High Ener.,Dances with Wolves,10,01:33-01:51
264,265,3.83,4.83,4.17,1.0,2.2,4.8,1.0,2.0,HIGH ENERGY,265,High Ener.,Juha,2,00:07-00:18
265,266,2.2,4.8,6.0,1.5,6.67,1.0,1.33,1.0,HIGH ENERGY,266,High Ener.,JFK,8,01:26-01:40
266,267,3.0,4.6,5.2,6.0,5.33,1.0,1.0,1.0,HIGH ENERGY,267,High Ener.,Outbreak,1,00:50-01:05
267,268,4.33,4.33,4.33,1.0,1.0,4.17,2.17,2.67,HIGH ENERGY,268,High Ener.,Juha,5,00:29-00:43
268,269,3.33,4.0,4.83,2.17,2.5,1.0,2.33,1.0,HIGH ENERGY,269,High Ener.,Juha,18,02:30-02:46
269,270,5.8,3.8,2.6,1.0,1.0,4.4,1.4,1.8,HIGH ENERGY,270,High Ener.,The Omen,9,00:00-00:24
270,271,5.8,1.2,1.4,1.0,1.0,1.0,6.0,4.17,LOW ENERGY,271,Low Ener.,Pride and Prejudice,15,01:18-01:33
271,272,5.5,1.33,2.83,1.0,1.0,1.0,5.8,4.6,LOW ENERGY,272,Low Ener.,Pride and Prejudice,3,01:40-02:00
272,273,3.0,1.4,4.2,1.0,3.5,1.0,6.0,1.0,LOW ENERGY,273,Low Ener.,Batman Returns,12,00:57-01:14
273,274,4.5,1.5,3.0,1.0,1.67,1.0,4.0,2.33,LOW ENERGY,274,Low Ener.,Angel Heart,4,00:08-00:28
274,275,5.5,1.5,1.33,1.0,1.0,1.0,5.83,7.17,LOW ENERGY,275,Low Ener.,JFK,11,00:00-00:16
275,276,4.8,1.6,3.4,1.0,1.67,1.0,4.0,4.33,LOW ENERGY,276,Low Ener.,Dracula,7,00:00-00:12
276,277,5.2,1.8,2.2,1.0,1.0,1.0,4.67,5.0,LOW ENERGY,277,Low Ener.,Last samurai,1,00:05-00:29
277,278,4.8,1.8,1.6,1.0,1.33,1.0,7.0,4.5,LOW ENERGY,278,Low Ener.,Pride and Prejudice,13,01:02-01:20
278,279,5.4,1.8,2.4,1.0,2.17,1.0,6.0,2.67,LOW ENERGY,279,Low Ener.,Mother of Mine,16,01:55-02:10
279,280,3.67,1.83,4.0,1.0,3.17,1.17,4.0,1.33,LOW ENERGY,280,Low Ener.,Blanc,16,00:00-00:15
280,281,4.67,1.83,2.17,1.0,1.67,1.0,2.33,4.67,LOW ENERGY,281,Low Ener.,Dances with Wolves,11,00:47-01:03
281,282,5.2,2.0,2.8,1.0,1.33,1.67,4.17,4.17,LOW ENERGY,282,Low Ener.,Crouching Tiger Hidden Dragon,5,00:00-00:15
282,283,4.17,2.0,3.33,1.0,1.0,1.0,5.67,2.67,LOW ENERGY,283,Low Ener.,Blanc,10,00:13-00:31
283,284,5.2,2.2,2.8,1.0,1.0,2.0,6.83,4.0,LOW ENERGY,284,Low Ener.,The Portrait of a Lady,4,00:00-00:17
284,285,4.33,2.33,3.17,2.0,2.17,1.17,5.5,1.67,LOW ENERGY,285,Low Ener.,Juha,16,00:19-00:33
285,286,3.17,2.33,3.67,1.0,3.2,1.0,3.6,3.6,LOW ENERGY,286,Low Ener.,The Omen,8,00:33-00:51
286,287,5.6,2.4,2.6,1.17,1.0,1.0,6.17,4.0,LOW ENERGY,287,Low Ener.,Juha,19,01:35-01:52
287,288,5.6,2.4,3.0,1.4,1.0,1.0,7.2,3.4,LOW ENERGY,288,Low Ener.,The Portrait of a Lady,9,00:00-00:22
288,289,6.8,2.4,1.0,1.0,1.0,4.67,1.67,6.83,LOW ENERGY,289,Low Ener.,Outbreak,8,01:55-02:10
289,290,4.5,2.5,3.83,1.0,1.0,1.0,6.0,4.67,LOW ENERGY,290,Low Ener.,The Omen,4,01:02-01:16
290,291,5.0,2.5,3.0,1.0,2.5,1.0,4.67,2.5,LOW ENERGY,291,Low Ener.,The Fifth Element,18,00:05-00:22
291,292,4.8,2.6,3.6,1.0,1.0,1.67,3.5,4.0,LOW ENERGY,292,Low Ener.,Batman,9,00:00-00:19
292,293,4.2,2.8,3.2,1.0,1.0,1.0,4.83,4.33,LOW ENERGY,293,Low Ener.,Crouching Tiger Hidden Dragon,11,00:28-00:46
293,294,3.83,3.0,3.67,2.4,1.6,1.0,5.0,1.6,LOW ENERGY,294,Low Ener.,Juha,16,00:00-00:15
294,295,4.0,3.0,4.4,1.0,2.17,1.17,5.0,1.33,LOW ENERGY,295,Low Ener.,Blanc,18,00:00-00:16
295,296,5.6,3.0,2.8,1.0,1.0,1.0,4.83,3.83,LOW ENERGY,296,Low Ener.,Oliver Twist,2,00:00-00:29
296,297,3.6,3.0,5.4,1.0,1.17,1.5,3.5,3.17,LOW ENERGY,297,Low Ener.,Batman,5,01:08-01:22
297,298,3.5,3.33,5.17,1.0,1.83,1.17,5.33,2.5,LOW ENERGY,298,Low Ener.,Mother of Mine,1,00:00-00:15
298,299,5.33,3.67,3.17,1.0,1.0,2.4,1.6,6.2,LOW ENERGY,299,Low Ener.,Oliver Twist,8,00:14-00:30
299,300,6.4,4.2,2.0,1.0,1.0,6.17,1.0,5.0,LOW ENERGY,300,Low Ener.,Batman,9,01:31-01:38
300,301,2.0,6.4,7.0,5.83,6.33,1.0,1.0,1.0,HIGH TENSION,301,High Tens.,Last samurai,9,03:37-03:51
301,302,1.0,5.67,7.0,5.83,7.17,1.0,1.0,1.0,HIGH TENSION,302,High Tens.,The Omen,5,00:00-00:15
302,303,1.0,4.67,7.0,5.2,4.8,1.0,1.8,1.0,HIGH TENSION,303,High Tens.,Hellraiser,8,00:00-00:17
303,304,2.2,5.8,7.0,6.0,7.33,1.0,1.0,1.0,HIGH TENSION,304,High Tens.,Hellraiser,12,01:30-01:49
304,305,1.83,5.17,6.83,6.5,4.83,1.0,1.0,1.0,HIGH TENSION,305,High Tens.,JFK,2,00:33-00:48
305,306,2.0,3.6,6.6,3.33,7.0,1.0,2.0,1.0,HIGH TENSION,306,High Tens.,Hellraiser,10,02:44-03:00
306,307,3.2,5.8,6.6,4.17,5.33,1.0,1.67,1.0,HIGH TENSION,307,High Tens.,Oliver Twist,8,02:39-03:02
307,308,2.2,6.4,6.6,5.17,4.33,1.0,1.0,1.0,HIGH TENSION,308,High Tens.,JFK,2,01:34-01:49
308,309,1.67,4.0,6.5,5.67,6.67,1.0,1.0,1.0,HIGH TENSION,309,High Tens.,The Fifth Element,13,00:17-00:31
309,310,4.2,6.2,6.4,4.83,5.17,1.0,1.0,1.0,HIGH TENSION,310,High Tens.,Last samurai,9,02:30-02:50
310,311,2.8,5.2,6.4,5.83,4.5,1.0,1.33,1.0,HIGH TENSION,311,High Tens.,Oliver Twist,10,00:00-00:20
311,312,1.8,5.8,6.4,4.83,7.0,1.0,1.0,1.0,HIGH TENSION,312,High Tens.,Hannibal,6,00:40-00:55
312,313,1.6,3.8,6.2,2.67,6.83,1.0,1.33,1.0,HIGH TENSION,313,High Tens.,Hannibal,1,00:40-00:54
313,314,3.33,6.33,6.17,6.33,3.0,1.17,1.0,1.0,HIGH TENSION,314,High Tens.,Batman,1,00:47-01:04
314,315,3.0,5.33,6.17,5.5,4.17,1.0,1.33,1.0,HIGH TENSION,315,High Tens.,Outbreak,11,00:00-00:15
315,316,2.83,5.83,6.0,4.0,5.0,1.0,1.0,1.0,HIGH TENSION,316,High Tens.,Batman Returns,2,00:18-00:33
316,317,3.0,3.5,5.83,1.67,6.17,1.33,3.0,1.0,HIGH TENSION,317,High Tens.,Angel Heart,3,00:43-00:59
317,318,2.83,3.83,5.83,2.33,7.17,1.0,2.17,1.0,HIGH TENSION,318,High Tens.,The Fifth Element,23,00:04-00:23
318,319,2.8,6.2,5.8,6.0,6.0,1.0,1.0,1.0,HIGH TENSION,319,High Tens.,Crouching Tiger Hidden Dragon,3,00:00-00:15
319,320,2.5,5.0,5.67,1.33,6.5,1.0,1.0,1.0,HIGH TENSION,320,High Tens.,JFK,8,00:08-00:25
320,321,3.0,5.2,5.6,3.17,4.5,1.0,1.0,1.0,HIGH TENSION,321,High Tens.,The Fifth Element,17,00:00-00:19
321,322,4.6,5.4,5.6,2.17,2.83,1.67,2.83,1.0,HIGH TENSION,322,High Tens.,Pride and Prejudice,13,00:15-00:32
322,323,3.0,4.67,5.5,4.83,5.17,1.0,1.83,1.0,HIGH TENSION,323,High Tens.,Hannibal,9,08:22-08:38
323,324,2.33,4.67,5.5,6.33,4.67,1.0,1.0,1.0,HIGH TENSION,324,High Tens.,Dracula,6,01:46-02:03
324,325,1.8,3.4,5.4,1.0,4.33,1.0,3.17,1.0,HIGH TENSION,325,High Tens.,Lethal weapon 3,7,00:00-00:16
325,326,1.6,6.0,5.4,4.0,6.17,1.0,1.0,1.0,HIGH TENSION,326,High Tens.,The Omen,12,00:40-00:50
326,327,3.17,4.83,5.33,3.67,3.83,1.0,1.83,1.0,HIGH TENSION,327,High Tens.,Crouching Tiger Hidden Dragon,12,03:16-03:32
327,328,2.4,4.0,5.0,3.67,7.33,1.0,1.0,1.0,HIGH TENSION,328,High Tens.,Angel Heart,9,02:40-03:00
328,329,3.8,3.4,4.8,1.33,4.67,1.0,2.5,1.0,HIGH TENSION,329,High Tens.,Oliver Twist,6,00:51-01:07
329,330,3.5,1.5,3.17,1.83,4.83,1.17,1.67,1.67,HIGH TENSION,330,High Tens.,Oliver Twist,12,03:07-03:27
330,331,6.67,2.33,1.17,1.0,1.0,3.8,1.4,7.4,LOW TENSION,331,Low Tens.,Pride and Prejudice,12,00:01-00:15
331,332,6.67,2.67,1.17,1.17,1.0,3.67,1.67,7.5,LOW TENSION,332,Low Tens.,JFK,4,00:00-00:15
332,333,6.33,3.33,1.5,1.0,1.0,2.33,4.0,7.0,LOW TENSION,333,Low Tens.,Lethal weapon 3,10,01:59-02:17
333,334,6.5,3.33,1.5,1.0,1.0,3.17,1.83,7.5,LOW TENSION,334,Low Tens.,Dances with Wolves,4,01:31-01:48
334,335,6.8,2.8,1.6,1.0,1.0,4.67,1.0,7.83,LOW TENSION,335,Low Tens.,Pride and Prejudice,1,00:10-00:26
335,336,6.6,3.4,1.6,1.0,1.0,6.0,1.0,7.17,LOW TENSION,336,Low Tens.,Dances with Wolves,8,00:39-00:59
336,337,6.8,3.6,1.6,1.0,1.0,2.5,2.0,6.17,LOW TENSION,337,Low Tens.,JFK,11,00:35-00:50
337,338,5.83,2.67,1.67,1.0,1.0,1.0,5.33,6.0,LOW TENSION,338,Low Tens.,Lethal weapon 3,10,00:59-01:12
338,339,6.0,2.4,1.8,1.0,1.0,2.67,3.0,6.0,LOW TENSION,339,Low Tens.,Dances with Wolves,12,01:08-01:21
339,340,6.0,2.6,2.0,1.0,1.0,4.5,1.0,5.17,LOW TENSION,340,Low Tens.,The Portrait of a Lady,3,00:23-00:45
340,341,4.83,1.17,2.0,1.0,1.33,1.0,6.83,3.17,LOW TENSION,341,Low Tens.,The Fifth Element,14,00:00-00:20
341,342,5.4,3.0,2.0,1.0,1.0,2.0,4.2,5.4,LOW TENSION,342,Low Tens.,Blanc,18,00:48-01:05
342,343,6.4,3.2,2.0,1.0,1.0,4.17,1.0,5.67,LOW TENSION,343,Low Tens.,Grizzly Man,1,00:00-00:27
343,344,5.4,2.2,2.0,1.0,1.0,2.0,6.5,6.83,LOW TENSION,344,Low Tens.,Mother of Mine,16,00:26-00:41
344,345,5.2,1.8,2.2,1.0,1.0,1.83,5.83,5.5,LOW TENSION,345,Low Tens.,Crouching Tiger Hidden Dragon,1,00:51-01:13
345,346,6.8,4.0,2.2,1.0,1.0,5.0,1.0,4.17,LOW TENSION,346,Low Tens.,Oliver Twist,8,01:15-01:32
346,347,4.2,2.4,2.4,1.0,1.33,1.17,4.17,3.17,LOW TENSION,347,Low Tens.,Crouching Tiger Hidden Dragon,5,00:15-00:30
347,348,5.2,2.8,2.6,1.0,1.0,1.67,5.67,5.83,LOW TENSION,348,Low Tens.,Crouching Tiger Hidden Dragon,2,01:10-01:25
348,349,5.17,4.5,2.67,1.0,1.0,4.83,1.0,4.17,LOW TENSION,349,Low Tens.,Juha,2,02:11-02:26
349,350,5.5,2.17,2.83,1.0,1.0,1.0,3.4,5.4,LOW TENSION,350,Low Tens.,The Fifth Element,5,00:13-00:30
350,351,4.33,1.83,2.83,1.0,1.0,1.0,5.67,3.0,LOW TENSION,351,Low Tens.,Crouching Tiger Hidden Dragon,1,00:00-00:15
351,352,5.4,2.6,3.0,1.0,1.33,1.83,4.17,5.0,LOW TENSION,352,Low Tens.,The Fifth Element,16,00:18-00:38
352,353,5.0,4.0,3.17,1.0,1.0,1.83,1.67,3.0,LOW TENSION,353,Low Tens.,The Fifth Element,12,00:00-00:17
353,354,5.5,3.83,3.17,1.0,1.0,3.5,1.5,4.33,LOW TENSION,354,Low Tens.,Grizzly Man,2,00:00-03:50
354,355,3.4,2.6,3.4,1.0,1.5,1.0,6.0,4.17,LOW TENSION,355,Low Tens.,JFK,16,05:07-05:24
355,356,4.8,2.4,3.6,1.0,1.0,1.33,6.67,4.5,LOW TENSION,356,Low Tens.,Lethal weapon 3,7,03:54-04:13
356,357,5.0,2.83,3.67,1.0,2.4,1.0,2.6,4.2,LOW TENSION,357,Low Tens.,Dracula,4,00:55-01:09
357,358,4.2,2.2,4.0,1.0,1.83,1.67,5.5,4.33,LOW TENSION,358,Low Tens.,Angel Heart,8,00:39-00:55
358,359,4.6,4.2,4.2,1.0,1.33,3.33,2.67,1.0,LOW TENSION,359,Low Tens.,Batman,18,02:46-03:02
359,360,3.2,3.4,5.0,1.33,5.33,1.0,3.0,1.0,LOW TENSION,360,Low Tens.,Batman,9,00:57-01:16
